deviceId	floorId	partitionId	location_x	location_y
210	91	1	343.0978412886542	267.97083315712314
211	91	1	343.7972808168051	271.03628860269714
212	91	2	342.7166282995034	282.80947108973197
213	91	2	342.62116506043134	286.83395533706323
214	91	3	324.58231549513386	282.7981166375351
215	91	4	379.3179531835423	293.91851711053613
216	91	4	382.2634913413423	293.8503720675778
217	91	4	382.49316743032546	299.6528827256302
218	91	5	370.2902278037388	248.41869986280258
219	91	5	375.7030195841551	248.8852968368595
220	91	5	376.8127437122302	249.00230811156086
221	91	6	366.2192418919147	246.95790471293645
222	91	7	310.11771321105203	265.81478060770297
223	91	8	321.3924084545559	289.07045310853374
224	91	9	334.71351637872186	244.73539139675796
225	91	9	339.24163915284487	241.71251509778418
226	91	10	356.4215088625641	280.5223298774788
227	91	12	337.36918777510806	286.70427867926907
228	91	13	346.551844965207	281.2549312741169
229	91	14	382.2575941189469	291.1260145153207
230	91	15	365.3595370566207	297.8225317371339
231	91	15	365.9337114813505	294.1007472367145
232	91	17	376.3225091553032	254.34979741340953
233	91	17	382.41473497962477	259.64687640104614
234	91	17	367.5708868134338	250.74005023703475
235	91	18	350.77800311046974	271.4598407851041
236	91	21	357.1966651657739	294.73348536722546
237	91	22	321.4108414941383	264.5739316775937
238	91	23	338.75111213564736	277.1173480449311
239	91	23	332.2570084569295	280.0283699452063
240	91	23	333.64389999327034	278.8398833009881
241	91	24	356.2803035216168	258.2514094024758
242	91	25	372.47065274698167	293.6107029580962
243	91	25	368.42460917064926	295.581167257686
244	91	26	325.9037031617994	299.5102508562614
245	91	28	329.83368545454806	285.7165175420847
246	91	29	302.00929395004937	242.8629311665275
247	91	29	304.6514504287378	241.2934432045971
248	91	30	361.7712036134448	253.94164364918205
249	91	32	349.30600551587264	275.96609340425005
250	91	32	348.50974292709685	275.3973963779949
251	91	32	347.42079858840367	273.2261405163412
252	91	33	335.9765812585756	256.2846227961537
253	91	33	339.03948441047476	257.05705779550993
254	91	33	332.3418691118704	252.16939299659603
255	91	34	323.8432025649674	280.28630302472334
256	91	34	329.44274515640586	278.62739470760783
257	91	35	353.465847268606	271.03948848917435
258	91	35	356.4203115827275	267.26945130450383
259	91	36	350.60993319249445	242.67608547668527
260	91	36	345.84616776609556	252.87248811625628
261	91	37	342.17720325080074	257.7443933201299
262	91	37	352.28413380325344	254.70958064921874
263	91	37	340.49555689822586	258.7808708867511
264	91	40	302.98189674941744	269.4763173179424
265	91	41	376.24279375526675	265.3769476830696
266	91	41	374.0286162633641	269.51351674318465
267	91	42	376.921598231795	277.3970994156293
268	91	42	375.0771700132324	275.19638759379166
269	91	42	381.21305829229755	276.94882321469294
270	91	43	367.0078046394016	273.9139654575203
271	91	43	362.47148300828104	267.49697128237733
272	91	43	371.81843536511366	271.91503628471173
273	91	45	337.80171396996553	296.33215723025216
274	91	46	329.87773594314035	241.09415228782495
275	91	46	324.3800249852735	241.8659225451989
276	91	46	323.09492296639496	242.36632700628522
277	91	47	344.22563099555913	293.62360326695267
278	91	47	345.3523109265461	294.49508234960007
279	91	48	325.19503697688384	256.85073120372806
280	91	49	360.42139907180035	258.7071725057477
281	91	50	370.2652196138952	284.9832749304859
282	91	50	368.6917304014101	288.61263856853407
283	91	50	367.063751774186	287.08802857729285
284	91	51	358.2596117119611	270.49285477936183
285	91	52	332.13281015763897	299.1668169450038
286	91	53	359.5353808546237	240.88200018315194
287	91	53	362.3550981250003	241.86836287754195
288	91	54	316.671209572956	264.7729728408037
289	91	55	377.86278532759906	288.5596061674232
290	91	56	331.9524210313997	263.3483051014117
291	91	57	324.3494664660415	263.2063480812479
292	91	58	305.99393585198226	262.34129996543146
293	91	59	336.2105555648278	261.3141041514921
294	91	60	353.70199306312344	261.32134356481754
295	91	61	360.4524286708456	263.8677426161483
296	91	62	370.439790101255	263.4598689946762
297	91	63	346.48532478763616	287.6756495010013
298	91	63	346.11181293628437	288.1668220974902
299	91	63	354.8333371058799	288.3573500932414
300	91	66	363.40796581786327	291.12800962866953
301	91	67	375.8266803395952	293.102291574643
302	91	69	379.79333370855954	264.93905871039453
